分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 102 ms, 最高速率: 9.72 M/s, 平均速率: 6.51 M/s, 最高分辨率: 3840x2160, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 4, IPv4: 10, IPv6: 0, 最小延迟: 103 ms, 最高速率: 9.56 M/s, 平均速率: 6.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 236 ms, 最高速率: 8.48 M/s, 平均速率: 4.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 4, IPv4: 10, IPv6: 0, 最小延迟: 477 ms, 最高速率: 7.15 M/s, 平均速率: 4.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 94 ms, 最高速率: 9.66 M/s, 平均速率: 3.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 112 ms, 最高速率: 9.21 M/s, 平均速率: 5.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 353 ms, 最高速率: 7.35 M/s, 平均速率: 4.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.75, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 4, IPv4: 9, IPv6: 0, 最小延迟: 98 ms, 最高速率: 9.40 M/s, 平均速率: 6.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.62, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 1, IPv4: 9, IPv6: 0, 最小延迟: 468 ms, 最高速率: 6.98 M/s, 平均速率: 6.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.86, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 10, IPv6: 0, 最小延迟: 111 ms, 最高速率: 9.35 M/s, 平均速率: 6.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 556 ms, 最高速率: 8.70 M/s, 平均速率: 5.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 2064 ms, 最高速率: 0.27 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 10, IPv6: 0, 最小延迟: 112 ms, 最高速率: 8.83 M/s, 平均速率: 8.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 2, IPv4: 9, IPv6: 0, 最小延迟: 111 ms, 最高速率: 9.80 M/s, 平均速率: 9.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 1, IPv4: 10, IPv6: 0, 最小延迟: 112 ms, 最高速率: 9.67 M/s, 平均速率: 9.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 119 ms, 最高速率: 9.13 M/s, 平均速率: 5.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 10149 ms, 最高速率: 0.27 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 1, IPv4: 10, IPv6: 0, 最小延迟: 523 ms, 最高速率: 8.62 M/s, 平均速率: 8.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: aac
